W00-1401 "Evaluation Metrics for Generation"
W02-0213 "Dialogue Act Recognition with Bayesian Networks for Dutch Dialogues"
W02-0214 "Topic Identification in Natural Language Dialogues Using Neural Networks"
W02-0215 "Issues under negotiation"
W02-0216 "Multi-tasking and Collaborative Activities in Dialogue Systems"
W02-0217 "Probabilistic Dialogue Modelling"
W02-0218 "Dialogue Macrogame Theory"
W02-0219 "A new Taxonomy for the Quality of Telephone Services Based on Spoken Dialogue Systems"
W02-0220 "Towards Context-adaptive Utterance Interpretation"
W02-0221 "Training a Dialogue Act Tagger for Human-human and Human-computer Travel dialogues"
W02-0222 "Processing Unknown Words in a Dialogue System"
W02-0223 "A Dialog Architecture for Military Story Capture"
W02-0224 "Grounding styles of aged dyads - an exploratory study"
W02-0225 "Rare Dialogue Acts in Oncology Consultations"
W02-0226 "Bridging the Gap between Dialogue management and dialogue models"
W02-0301 "Tuning support vector machines for biomedical named entity recognition"
W02-0302 "Tagging gene and protein names in full text articles"
W02-0303 "Contrast and variability in gene names"
W02-0304 "Accenting unknown words in a specialized language"
W02-0305 "MPLUS: a probabilistic medical language understanding system"
W02-0306 "A transformational-based learner for dependency grammars in discharge summaries"
W02-0307 "Enhanced natural language access to anatomically-indexed data"
W02-0308 "Unsupervised,corpus-based method for extending a biomedical terminology"
W02-0309 "Biomedical text retrieval in languages with a complex morphology"
W02-0310 "Analyzing the Semantics of patient data to rank records of literature retrieval"
W02-0311 "Utilizing text mining results: The Pasta Web System"
W02-0701 "Corpus-Centered Computation"
W02-0702 "Topic Detection Based on Dialogue History"
W02-0703 "Spoken Language Parsing Using Phrase-Level Grammars and Trainable Classifiers"
W02-0704 "Finding Translation Pairs from English-Japanese Untokenized Aligned Corpora"
W02-0705 "Speech Translation Performance of Statistical Dependency Transduction and Semantic Similarity Transduction"
W02-0706 "Architectures for Speech-to-Speech Translation Using Finite-state Models"
W02-0707 "Evaluation of Direct Speech Translation Method Using Inductive Learning for Conversations in the Travel Domain"
W02-0708 "Balancing Expressiveness and Simplicity in an Interlingua for Task Based Dialogue"
W02-0709 "Interactive Chinese-to-English Speech Translation Based on Dialogue Management"
W02-0710 "A Flexible Speech to Speech Phrasebook Translator"
W02-0711 "Speech Translation on a Tight Budget without Enough Data"
W02-0712 "Automatic Interpretation System Integrating Free-Style Sentence Translation and Parallel Text Based Translation"
W02-0713 "Sharing Problems and Solutions for Machine Translation of Spoken and Written Interaction"
W02-0714 "Improvements in Non-Verbal Cue Identification Using Multilingual Phone Strings"
W02-0715 "Quality-Sensitive Test Set Selection for a Speech Translation System"
W02-0716 "Towards a Speech-to-Speech Machine Translation Quality Metric"
W02-0717 "A Multi-Perspective Evaluation of the NESPOLE! Speech-to-Speech Translation System"
W02-2101 "Corpus-trained Text Generation for Summarization"
W02-2102 "The Importance of Lexicalized Syntax Models for Natural Language Generation Tasks"
W02-2103 "An Empirical Verification of Coverage and Correctness for a General-Purpose Sentence Generator"
W02-2104 "Combining Machine Learning and Rule-based Approaches in Spanish and Japanese Sentence Realization"
W02-2105 "An Overview of Amalgam: A Machine-learned Generation Module"
W02-2106 "A Complete, Efficient Sentence-Realization Algorithm for Unification Grammar"
W02-2107 "Designing a Speech Corpus for Instance-based Spoken Language Generation"
W02-2108 "Towards Emotional Variation in Speech-Based Natural Language Processing"
W02-2109 "From Discourse Plans to Believable Behavior Generation"
W02-2110 "Speech-Plans: Generating Evaluative Responses in Spoken Dialogue"
W02-2111 "Stochastic Text Structuring Using the Principle of Continuity"
W02-2112 "Content Planner Construction via Evolutionary Algorithms and a Corpus-based Fitness Function"
W02-2113 "Should Corpora Texts Be Gold Standards for NLG?"
W02-2114 "Aggregation with Strong Regularities and Alternatives\""
W02-2115 "Generating Easy References: the Case of Document Deixis"
W02-2116 "The DIAG experiments: Natural Language Generation for Intelligent Tutoring Systems"
W02-2117 "An Evaluation of Procedural Instructional Text"
W02-2118 "A Constraint-Based Approach for Cooperative Information-Seeking Dialogue"
W02-2119 "What is NLG?"
W02-2120 "Syntactic Form and Discourse Function in NLG"
W02-2121 "Driving Multilingual Sentence Generation with Lexico-grammatical Resources"
W02-2122 "Planning Proof Content for Communicating Induction"
W02-2123 "Towards Balancing Conciseness, Readability and Salience: an Integrated Architecture"
W02-2124 "Use of Description Logic and SDRT in an NLG System"
W03-1301 "Gene Name Extraction Using FlyBase Resources"
W03-1302 "Unsupervised Monolingual and Bilingual Word-Sense Disambiguation of Medical Documents using UMLS"
W03-1303 "Using Domain-Specific Verbs for Term Classification"
W03-1304 "Enhancing Performance of Protein Name Recognizers Using Collocation"
W03-1305 "Two-Phase Biomedical NE Recognition based on SVMs"
W03-1306 "Boosting Precision and Recall of Dictionary-Based Protein Name Recognition"
W03-1307 "Effective Adaptation of Hidden Markov Model-based Named Entity Recognizer for Biomedical Domain"
W03-1308 "Bio-Medical Entity Extraction using Support Vector Machines"
W03-1309 "Protein Name Tagging for Biomedical Annotation in Text"
W03-1310 "Answering Clinical Questions with Role Identification"
W03-1311 "Extracting Information on Pneumonia in Infants Using Natural Language Processing of Radiology Reports"
W03-1312 "Identification of Patients with Congestive Heart Failure using a Binary Classifier: A Case Study. "
W03-1313 "Encoding Biomedical Resources in TEI: The Case of the GENIA Corpus"
W03-1314 "Exploring Adjectival Modification in Biomedical Discourse Across Two Genres"
W03-1315 "An Investigation of Various Information Sources for Classifying Biological names"
W03-1801 "Complex Structuring of Term Variants for Question Answering"
W03-1802 "Conceptual Structuring through Term Variations"
W03-1803 "Noun-Noun Compound Machine Translation A Feasibility Study on Shallow Processing"
W03-1804 "Using Masks, Suffix Array-based Data Structures and Multidimensional Arrays to Compute Positional Ngram Statistics from Corpora"
W03-1805 "A Language Model Approach to Keyphrase Extraction"
W03-1806 "Multiword Unit Hybrid Extraction"
W03-1807 "Extracting Multiword Expressions with A Semantic Tagger"
W03-1808 "Verb-Particle Constructions and Lexical Resources"
W03-1809 "A Statistical Approach to the Semantics of Verb-Particles"
W03-1810 "Detecting a Continuum of Compositionality in Phrasal Verbs"
W03-1811 "A Disambiguation Method for Japanese Compound Verbs"
W03-1812 "An Empirical Model of Multiword Expression Decomposability"
W03-1901 "Outline of the International Standard Linguistic Annotation Framework"
W03-1902 "From Concrete to Virtual Annotation Mark-up Language: The Case of COMMOn-REFs"
W03-1903 "Ontology-based Linguistic Annotation"
W03-1904 "Putting FrameNet Data into the ISO Linguistic Annotation Framework"
W03-1905 "RDF Instantiation of ISLE/MILE Lexical Entries"
W03-2101 "Understanding Information Graphics: A Discourse-Level Problem"
W03-2102 "Annotating Opinions in the World Press"
W03-2103 "Answering Clarification Questions"
W03-2104 "An Information-theoretic Approach for Argument Interpretation"
W03-2105 "Conversational inferences: the hard way and the easy way"
W03-2106 "The interpretation of non-sentential utterances in dialogue"
W03-2107 "Flexible Spoken Dialogue System based on User Models and Dynamic Generation of VoiceXML Scripts"
W03-2108 "Building a New Internet Chat System for Sharing Timing Information"
W03-2109 "Interpreter for Highly Portable Spoken Dialogue System"
W03-2110 "Spoken Dialogue for Virtual Advisers in a semi-immersive Command and Control environment"
W03-2111 "Using Wizard-of-Oz simulations to bootstrap Reinforcement - Learning based dialog management systems"
W03-2112 "Example-based Spoken Dialogue System using WOZ System Log"
W03-2113 "Some empirical findings on dialogue management and domain ontologies in dialogue systems - Implications from an evaluation of BirdQuest"
W03-2114 "Managing Dialogue Interaction: A Multi-Layered Approach"
W03-2115 "Ontology-based Contextual Coherence Scoring"
W03-2116 "An Annotation Tool for Multimodal Dialogue Corpora using Global Document Annotation"
W03-2117 "Multi-Level Annotation in MMAX"
W03-2118 "Domain Specific Speech Acts for Spoken Language Translation"
W03-2119 "Turn-taking in Graphical Communication: an exploratory study "
W03-2120 "PALinkA: A highly customisable tool for discourse annotation "
W03-2121 "Speaker-independent context update rules for dialogue management "
W03-2122 "A Method for Forming Mutual Beliefs for Communication through Human-robot Multi-modal Interaction "
W03-2123 "DIPPER: Description and Formalisation of an Information-State Update Dialogue System Architecture "
W03-2124 "Learning to Speak to a Spoken Language System: Vocabulary Convergence in Novice Users"
W03-2125 "A procedure assistant for astronauts in a functional programming architecture, with step previewing and spoken correction of dialogue moves"
W03-2126 "Dialog Input Ranking in a Multi-Domain Environment Using Transferable Belief Model"
W03-2127 "Annotating emotion in dialogue"
W04-0201 "A Framework for Feature based Description of Low level Discourse"
W04-0202 "COOPML: Towards Annotating Cooperative Discourse"
W04-0203 "Using a Probabilistic Model of Discourse Relations to Investigate Word Order Variation"
W04-0204 "On the Use of Automatic Tools for Large-scale Semantic Analyses of Causal Connectives"
W04-0205 "Korean Null Pronouns: Classification and Annotation"
W04-0206 "Discourse-level Annotation for Investigating Information Structure"
W04-0207 "Text Type Structure and Logical Document Structure"
W04-0208 "Temporal Discourse Models for Narrative Structure"
W04-0209 "Exploiting Semantic Information for Manual Anaphoric Annotation in Cast3LB Corpus"
W04-0210 "Discourse Annotation and Semantic Annotation in the GNOME corpus"
W04-0211 "Sentential Structure and Discourse Parsing"
W04-0212 "Annotation and Data Mining of the Penn Discourse TreeBank"
W04-0213 "The Potsdam Commentary Corpus"
W04-0214 "Discourse Annotation in the Monroe Corpus"
W04-0215 "LiveTree: An Integrated Workbench for Discourse Processing"
W04-0301 "Competence and Performance Grammar in Incremental Processing"
W04-0302 "Stochastically Evaluating the Validity of Partial Parse Trees in Incremental Parsing"
W04-0303 "Efficient Incremental Beam-Search Parsing with Generative and Discriminative Models"
W04-0304 "Incremental Parsing with Reference Interaction"
W04-0305 "Lookahead in Deterministic Left-Corner Parsing"
W04-0306 "An Efficient Algorithm to Induce Minimum Average Lookahead Grammars for Incremental LR Parsing"
W04-0307 "A Statistical Constraint Dependency Grammar (CDG) Parser"
W04-0308 "Incrementality in Deterministic Dependency Parsing"
W04-0309 "The Information-Processing Difficulty of Incremental Parsing"
W04-0310 "Incrementality in Syntactic Processing: Computational Models and Experimental Evidence"
W04-0311 "Dynamic Dependency Parsing"
W04-0312 "Incremental Parsing, or Incremental Grammar?"
W04-0401 "Statistical Measures of the Semi-Productivity of Light Verb Constructions"
W04-0402 "Paraphrasing of Japanese Light-verb Constructions Based on Lexical Conceptual Structure"
W04-0404 "Translation by Machine of Complex Nominals: Getting it Right"
W04-0405 "MWEs as Non-propositional Content Indicators"
W04-0406 "Multiword Expression Filtering for Building Knowledge"
W04-0407 "Representation and Treatment of Multiword Expressions in Basque"
W04-0408 "Multiword Expressions as Dependency Subgraphs"
W04-0409 "Integrating Morphology with Multi-word Expression Processing in Turkish"
W04-0410 "Frozen Sentences of Portuguese: Formal Descriptions for NLP"
W04-0411 "Lexical Encoding of MWEs"
W04-0412 "Non-Contiguous Word Sequences for Information Retrieval"
W04-1201 "Recognizing Names in Biomedical Texts using Hidden Markov Model and SVM plus Sigmoid"
W04-1202 "Using Argumentation to Retrieve Articles with Similar Citations from MEDLINE"
W04-1203 "Analysis of Link Grammar on Biomedical Dependency Corpus Targeted at Protein-Protein Interactions"
W04-1204 "Discovering Patterns to Extract Protein-Protein Interactions from Full Biomedical Texts"
W04-1205 "Zone Identification in Biology Articles as a Basis for Information Extraction"
W04-1206 "Assessing the Correlation between Contextual Patterns and Biological Entity Tagging"
W04-1207 "Event-Based Information Extraction for the Biomedical Domain: the Caderige Project"
W04-1208 "Distributed Modules for Text Annotation and IE Applied to the Biomedical Domain"
W04-1209 "Support Vector Machine Approach to Extracting Gene References into Function from Biological Documents"
W04-1210 "Improving the Identification of Non-Anaphoric it using Support Vector Machines"
W04-1211 "Creating a Test Corpus of Clinical Notes Manually Tagged for Part-of-Speech Information"
W04-1212 "Classification from Full Text: A Comparison of Canonical Sections of Scientific Papers"
W04-1213 "Introduction to the Bio-entity Recognition Task at JNLPBA"
W04-1215 "Annotating Multiple Types of Biomedical Entities: A Single Word Classification Approach"
W04-1216 "Named Entity Recognition in Biomedical Texts using an HMM Model"
W04-1217 "Exploiting Context for Biomedical Entity Recognition: From Syntax to the Web"
W04-1218 "Adapting an NER-System for German to the Biomedical Domain"
W04-1219 "Exploring Deep Knowledge Resources in Biomedical Name Recognition"
W04-1220 "POSBIOTM-NER in the Shared Task of BioNLP/NLPBA2004"
W04-2301 "Usability and Acceptability Studies of Conversational Virtual Human Technology"
W04-2302 "Stochastic Language Generation in a Dialogue System: Toward a Domain Independent Generator"
W04-2304 "The NICE Fairy-tale Game System"
W04-2305 "Combining Acoustic Confidences and Pragmatic Plausibility for Classifying Spoken Chess Move Instructions"
W04-2306 "Semi-Automatic Generation of Dialogue Applications in the GEMINI Project"
W04-2307 "A View on Dialogue Move Taxonomies for Tutorial Dialogues"
W04-2308 "Other-Initiated Self-Repairs in Estonian Information Dialogues: Solving Communication Problems in Cooperation"
W04-2309 "But What Do They Mean? An Exploration Into the Range of Cross-Turn Expectations Denied by \"But\""
W04-2310 "Anaphora Resolution in Multi-Person Dialogues"
W04-2311 "The Importance of Discourse Context for Statistical Natural Language Generation"
W04-2312 "Resolution of Lexical Ambiguities in Spoken Dialogue System"
W04-2313 "Towards Automatic Identification of Discourse Markers in Dialogs: The Case of Like"
W04-2314 "Bootstrapping Spoken Dialog Systems with Data Reuse"
W04-2315 "Speech Graffiti Habitability: What Do Users Really Say?"
W04-2316 "Acknowledgment Use with Synthesized and Recorded Prompts"
W04-2317 "Towards Automatic Addressee Identification in Multi-party Dialogues"
W04-2318 "Prosodic Cues to Discourse Segment Boundaries in Human-Computer Dialogue"
W04-2319 "The ICSI Meeting Recorder Dialog Act (MRDA) Corpus"
W04-2320 "Dialogue Systems that Can Handle Face-to-Face Joint Reference to Actions in Space"
W04-2321 "On the Use of Confidence for Statistical Decision in Dialogue Strategies"
W04-2322 "A Rule Based Approach to Discourse Parsing"
W04-2323 "Unifying Annotated Discourse Hierarchies to Create a Gold Standard"
W04-2324 "Discourse Dependency Structures as Constrained DAGs"
W04-2325 "Causes and Strategies for Requesting Clarification in Dialogue"
W04-2326 "Annotating Student Emotional States in Spoken Tutoring Dialogues"
W04-2327 "The MATE/GNOME Proposals for Anaphoric Annotation, Revisited"
W04-2701 "Introduction to Frontiers in Corpus Annotation"
W04-2702 "Syntax to Semantics Transformation: Application to Treebanking"
W04-2703 "Annotating Discourse Connectives and Their Arguments"
W04-2704 "Proposition Bank II: Delving Deeper"
W04-2705 "The NomBank Project: An Interim Report"
W04-2706 "Deep Syntactic Annotation: Tectogrammatical Representation and Beyond"
W04-2707 "Multi-dimensional annotation of linguistic corpora for investigating information structure"
W04-2708 "Prague Czech-English Dependency Treebank: Any Hopes for a Common Annotation Scheme?"
W04-2709 "Interlingual Annotation of Multilingual Text Corpora"
W04-2710 "Annotating WordNet"
W04-2901 "A System for Searching and Browsing Spoken Communications "
W04-2902 "Analysis and Processing of Lecture Audio Data: Preliminary Investigations"
W04-2903 "Audio Hot Spotting and Retrieval using Multiple Features"
W04-2904 "Scoring Algorithms for Wordspotting Systems"
W04-2905 "Using Soundex Codes for Indexing Names in ASR Documents"
W04-2906 "Assessing Prosodic and Text Features for Segmentation of Mandarin Broadcast News"
W04-3001 "Invited Talk: Sentence Interpretation using Stochastic Finite State Transducers"
W04-3002 "Hybrid Statistical and Structural Semantic Modeling for Thai Multi-Stage Spoken Language Understanding "
W04-3003 "Interactive Machine Learning Techniques for Improving SLU Models"
W04-3004 "Virtual Modality: a Framework for Testing and Building Multimodal Applications"
W04-3005 "Automatic Call Routing with Multiple Language Models"
W04-3006 "Error Detection and Recovery in Spoken Dialogue Systems"
W04-3007 "Robustness Issues in a Data-Driven Spoken Language Understanding System"
W04-3008 "Invited Talk: Spoken Language Understanding: The Research/Industry Chasm"
W04-3009 "Using Higher-level Linguistic Knowledge for Speech Recognition Error Correction in a Spoken Q/A Dialog"
W04-3011 "Assigning Domains to Speech Recognition Hypotheses"
W05-0301 "Introduction to Frontiers in Corpus Annotation II: Pie in the Sky"
W05-0302 "Merging PropBank, NomBank, TimeBank, Penn Discourse Treebank and Coreference"
W05-0303 "A Unified Representation for Morphological, Syntactic, Semantic, and Referential Annotations"
W05-0304 "Parallel Entity and Treebank Annotation"
W05-0305 "Attribution and the (Non-)Alignment of Syntactic and Discourse Arguments of Connectives"
W05-0306 "Investigating the Characteristics of Causal Relations in Japanese Text"
W05-0307 "A Framework for Annotating Information Structure in Discourse"
W05-0308 "Annotating Attributions and Private States"
W05-0309 "A Parallel Proposition Bank II for Chinese and English"
W05-0310 "Semantically Rich Human-Aided Machine Annotation"
W05-0311 "The Reliability of Anaphoric Annotation, Reconsidered: Taking Ambiguity into Account"
W05-1501 "Efficient and Robust LFG Parsing: SxLFG"
W05-1502 "Parsing Linear Context-Free Rewriting Systems"
W05-1503 "Switch Graphs for Parsing Type Logical Grammars"
W05-1504 "Parsing with Soft and Hard Constraints on Dependency Length"
W05-1505 "Corrective Modeling for Non-Projective Dependency Parsing"
W05-1506 "Better k-best Parsing"
W05-1507 "Machine Translation as Lexicalized Parsing with Hooks"
W05-1508 "Treebank transfer"
W05-1509 "Lexical and Structural Biases for Function Parsing"
W05-1510 "Probabilistic Models for Disambiguation of an HPSG-Based Chart Generator"
W05-1511 "Efficacy of Beam Thresholding, Unification Filtering and Hybrid Parsing in Probabilistic HPSG Parsing"
W05-1512 "Head-Driven PCFGs with Latent-Head Statistics"
W05-1513 "A Classifier-Based Parser with Linear Run-Time Complexity"
W05-1514 "Chunk Parsing Revisited"
W05-1515 "Constituent Parsing by Classification"
W05-1516 "Strictly Lexical Dependency Parsing"
W05-1517 "Efficient Extraction of Grammatical Relations"
W05-1518 "Improving Parsing Accuracy by Combining Diverse Dependency Parsers"
W05-1519 "Exploring Features for Identifying Edited Regions in Disfluent Sentences"
W05-1520 "Statistical Shallow Semantic Parsing despite Little Training Data"
W05-1521 "The Quick Check Pre-unification Filter for Typed Grammars: Extensions"
W05-1522 "From metagrammars to factorized TAG/TIG parsers"
W05-1523 "Parsing Generalized ID/LP Grammars"
W05-1524 "TFLEX: Speeding Up Deep Parsing with Strategic Pruning"
W05-1525 "Generic Parsing for Multi-Domain Semantic Interpretation"
W05-1526 "Online Statistics for a Unification-Based Dialogue Parser"
W05-1527 "SUPPLE: A Practical Parser for Natural Language Engineering Applications"
W05-1528 "k-NN for Local Probability Estimation in Generative Parsing Models"
W05-1601 "Statistical Generation: Three Methods Compared and Evaluated"
W05-1602 "Interactive Authoring of Logical Forms for Multilingual Generation"
W05-1603 "Ten Years After: An Update on TG/2 (and Friends)"
W05-1604 "Real-Time Stochastic Language Generation for Dialogue Systems"
W05-1605 "Generating and Selecting Grammatical Paraphrases"
W05-1606 "Generating Referential Descriptions Under Conditions of Uncertainty"
W05-1607 "A Context-dependent Algorithm for Generating Locative Expressions in Physically Situated Environments"
W05-1608 "Incremental Generation of Multimodal Deixis Referring to Objects"
W05-1609 "Context-sensitive Utterance Planning for CCG"
W05-1610 "Narratological Knowledge for Natural Language Generation"
W05-1611 "Discrete Optimization as an Alternative to Sequential Processing in NLG"
W05-1612 "Explorations in Sentence Fusion"
W05-1613 "Natural Language Directed Inference in the Presentation of Ontologies"
W05-1614 "Computational Mechanisms for Pun Generation"
W05-1615 "Evaluation of an NLG System using Post-Edit Data: Lessons Learnt"
W05-1616 "Generating Readable Texts for Readers with Low Basic Skills"
W05-1617 "Exploiting OWL Ontologies in the Multilingual Generation of Object Descriptions"
W05-1618 "Towards Generating Procedural Texts: An Exploration of their Rhetorical and Argumentative Structure"
W05-1619 "The Types and Distributions of Errors in a Wide Coverage Surface Realizer Evaluation"
W05-1620 "An Evolutionary Approach to Referring Expression Generation and Aggregation"
W05-1621 "Using a Corpus of Sentence Orderings Defined by Many Experts to Evaluate Metrics of Coherence for Text Structuring"
W05-1622 "When must Should Be Chosen"
W05-1623 "Reversibility and Re-usability of Resources in NLG and Natural Language Dialog Systems"
W05-1624 "An Experiment Setup for Collecting Data for Adaptive Output Planning in a Multimodal Dialogue System"
W05-1625 "Answer Generation with Temporal Data Integration"
W05-1626 "Chart Generation Using Production Systems"
W05-1627 "Spatial Descriptions as Referring Expressions in the MapTask Domain"
W06-0301 "Extracting Opinions, Opinion Holders, and Topics Expressed in Online News Media Text"
W06-0302 "Toward Opinion Summarization: Linking the Sources"
W06-0303 "A System for Summarizing and Visualizing Arguments in Subjective Documents: Toward Supporting Decision Making"
W06-0304 "User-directed Sentiment Analysis: Visualizing the Affective Content of Documents"
W06-0305 "Annotating Attribution in the Penn Discourse TreeBank"
W06-0306 "Searching for Sentences Expressing Opinions by using Declaratively Subjective Clues"
W06-0307 "Exploitation in Affect Detection in Open-Ended Improvisational Text"
W06-1202 "Measuring MWE Compositionality Using Semantic Annotation"
W06-1203 "Automatic Identification of Non-Compositional Multi-Word Expressions using Latent Semantic Analysis"
W06-1204 "Using Information about Multi-word Expressions for the Word-Alignment Task"
W06-1205 "Detecting Complex Predicates in Hindi using POS Projection across Parallel Corpora"
W06-1206 "Automated Multiword Expression Prediction for Grammar Engineering"
W06-1207 "Classifying Particle Semantics in English Verb-Particle Constructions"
W06-1301 "Adaptive Help for Speech Dialogue Systems Based on Learning and Forgetting of Speech Commands"
